pilot_pattern,pilot_density,snr_db,trials,num_pilots,path_recall_mean,path_recall_std,path_recall_se,path_recall_ci95_lower,path_recall_ci95_upper,path_recall_n_eff,path_precision_mean,path_precision_std,path_precision_se,path_precision_ci95_lower,path_precision_ci95_upper,path_precision_n_eff,power_recovery_mean,power_recovery_std,power_recovery_se,power_recovery_ci95_lower,power_recovery_ci95_upper,power_recovery_n_eff,delay_rmse_bins_mean,delay_rmse_bins_std,delay_rmse_bins_se,delay_rmse_bins_ci95_lower,delay_rmse_bins_ci95_upper,delay_rmse_bins_n_eff,doppler_rmse_bins_mean,doppler_rmse_bins_std,doppler_rmse_bins_se,doppler_rmse_bins_ci95_lower,doppler_rmse_bins_ci95_upper,doppler_rmse_bins_n_eff,penalized_delay_rmse_bins_mean,penalized_delay_rmse_bins_std,penalized_delay_rmse_bins_se,penalized_delay_rmse_bins_ci95_lower,penalized_delay_rmse_bins_ci95_upper,penalized_delay_rmse_bins_n_eff,penalized_doppler_rmse_bins_mean,penalized_doppler_rmse_bins_std,penalized_doppler_rmse_bins_se,penalized_doppler_rmse_bins_ci95_lower,penalized_doppler_rmse_bins_ci95_upper,penalized_doppler_rmse_bins_n_eff,ospa_distance_mean,ospa_distance_std,ospa_distance_se,ospa_distance_ci95_lower,ospa_distance_ci95_upper,ospa_distance_n_eff,num_estimated_mean,num_estimated_std,num_estimated_se,num_estimated_ci95_lower,num_estimated_ci95_upper,num_estimated_n_eff,num_missed_mean,num_missed_std,num_missed_se,num_missed_ci95_lower,num_missed_ci95_upper,num_missed_n_eff,num_false_alarms_mean,num_false_alarms_std,num_false_alarms_se,num_false_alarms_ci95_lower,num_false_alarms_ci95_upper,num_false_alarms_n_eff,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_se,false_alarm_rate_ci95_lower,false_alarm_rate_ci95_upper,false_alarm_rate_n_eff,nmse_oracle_perfect_mean,nmse_oracle_perfect_std,nmse_oracle_perfect_se,nmse_oracle_perfect_ci95_lower,nmse_oracle_perfect_ci95_upper,nmse_oracle_perfect_n_eff,nmse_oracle_support_ls_mean,nmse_oracle_support_ls_std,nmse_oracle_support_ls_se,nmse_oracle_support_ls_ci95_lower,nmse_oracle_support_ls_ci95_upper,nmse_oracle_support_ls_n_eff,nmse_estimated_support_ls_mean,nmse_estimated_support_ls_std,nmse_estimated_support_ls_se,nmse_estimated_support_ls_ci95_lower,nmse_estimated_support_ls_ci95_upper,nmse_estimated_support_ls_n_eff
comb,0.0625,-5.0,1000,64.0,0.3935,0.16065042346212025,0.005080212452108529,0.3835427835938673,0.40345721640613275,1000.0,0.3935,0.16065042346212025,0.005080212452108529,0.3835427835938673,0.40345721640613275,1000.0,0.6175686229349857,0.24426392080461237,0.00772430339945564,0.6024289882720527,0.6327082575979187,1000.0,0.19006262993151296,0.11041605893520179,0.003574851900698932,0.18305592020614306,0.19706933965688286,954.0,0.1388466847905165,0.08577683660426492,0.0027771276237150535,0.13340351464803502,0.144289854932998,954.0,0.5972066737308627,0.0685532656953847,0.0021678446064010235,0.5929576983023167,0.6014556491594086,1000.0,0.40082376227769306,0.04523760895217875,0.0014305388018890795,0.3980199062259905,0.40362761832939564,1000.0,0.8098339312870204,0.0733863619757732,0.0023206805303701778,0.8052853974474948,0.814382465126546,1000.0,4.0,0.0,0.0,4.0,4.0,1000.0,2.426,0.642601693848481,0.020320849808434117,2.3861711343754695,2.465828865624531,1000.0,2.426,0.642601693848481,0.020320849808434117,2.3861711343754695,2.465828865624531,1000.0,0.6065,0.16065042346212025,0.005080212452108529,0.5965427835938674,0.6164572164061327,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.19722920574938466,0.10935071529836915,0.003457973241114654,0.19045157819679995,0.20400683330196936,1000.0,0.8805082086623516,0.24176881913229858,0.007645401356673573,0.8655232220032714,0.8954931953214318,1000.0
comb,0.0625,0.0,1000,64.0,0.47725,0.11909711004731234,0.0037661813049323085,0.46986828464233266,0.48463171535766736,1000.0,0.47725,0.11909711004731234,0.0037661813049323085,0.46986828464233266,0.48463171535766736,1000.0,0.7383036706468629,0.185435519129838,0.005863985995460129,0.726810258095761,0.7497970831979647,1000.0,0.17202868936359553,0.08914892281823514,0.0028347708234508153,0.16647253854963193,0.17758484017755913,989.0,0.10689054576206045,0.06225330434595915,0.0019795399119195154,0.1030106475346982,0.11077044398942269,989.0,0.5565745134900303,0.054565061128568744,0.0017254987383259496,0.5531925359629114,0.5599564910171492,1000.0,0.370159543800647,0.03655945160490871,0.0011561113707820982,0.36789356551391406,0.3724255220873799,1000.0,0.7458809182594051,0.05394790780460224,0.0017059826366331704,0.7425371922916041,0.749224644227206,1000.0,4.0,0.0,0.0,4.0,4.0,1000.0,2.091,0.47638844018924936,0.015064725219729234,2.061473138569331,2.1205268614306694,1000.0,2.091,0.47638844018924936,0.015064725219729234,2.061473138569331,2.1205268614306694,1000.0,0.52275,0.11909711004731234,0.0037661813049323085,0.5153682846423328,0.5301317153576673,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.06321460475614017,0.033214312703995906,0.0010503287906169305,0.061155960326530985,0.06527324918574935,1000.0,0.6337375048502771,0.11610729481177054,0.0036716350456584596,0.6265411001607866,0.6409339095397677,1000.0
comb,0.0625,5.0,1000,64.0,0.47675,0.11471746858084692,0.0036276848812428018,0.4696397376327641,0.4838602623672359,1000.0,0.47675,0.11471746858084692,0.0036276848812428018,0.4696397376327641,0.4838602623672359,1000.0,0.7531564150097971,0.1726488817043206,0.005459637016666263,0.7424555264571313,0.763857303562463,1000.0,0.15710184817798378,0.08337783936701244,0.00263927938818328,0.15192886057714455,0.162274835778823,998.0,0.08744347225629844,0.05383422963113861,0.0017040927628115482,0.0841034504411878,0.09078349407140907,998.0,0.554552081891605,0.052375773327922086,0.0016562673792893086,0.551305797828198,0.557798365955012,1000.0,0.36700025090560995,0.036651356964707435,0.0011590176734435106,0.3647285762656607,0.3692719255455592,1000.0,0.7356770281842128,0.04561076985142893,0.0014423391856425514,0.7328500433803533,0.7385040129880722,1000.0,4.0,0.0,0.0,4.0,4.0,1000.0,2.093,0.45886987432338766,0.014510739524971207,2.0645589505310564,2.1214410494689435,1000.0,2.093,0.45886987432338766,0.014510739524971207,2.0645589505310564,2.1214410494689435,1000.0,0.52325,0.11471746858084692,0.0036276848812428018,0.5161397376327641,0.5303602623672359,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.02012949208812911,0.010036071747656288,0.00031736845483460504,0.019507449916653284,0.020751534259604937,1000.0,0.5923592395101898,0.11377498709669137,0.0035978809998181275,0.5853073927505462,0.5994110862698333,1000.0
comb,0.0625,10.0,1000,64.0,0.483,0.11821579833074332,0.0037383117814028,0.4756729089084505,0.4903270910915495,1000.0,0.483,0.11821579833074332,0.0037383117814028,0.4756729089084505,0.4903270910915495,1000.0,0.7565295581787275,0.1843153167132707,0.0058285620846923545,0.7451055764927305,0.7679535398647245,1000.0,0.1572676707288011,0.086455380701986,0.0027380693789781194,0.151901054746004,0.1626342867115982,997.0,0.085276024218443,0.05014235860837971,0.0015880244304122368,0.08216349633483502,0.08838855210205099,997.0,0.5523565387188064,0.05229114398510672,0.001653591164487511,0.5491155000364109,0.555597577401202,1000.0,0.36453152555603685,0.03752838144710496,0.0011867516227245748,0.3622054923754967,0.366857558736577,1000.0,0.7291535328127192,0.04432508445323709,0.0014016822435154838,0.7264062356154288,0.7319008300100096,1000.0,4.0,0.0,0.0,4.0,4.0,1000.0,2.068,0.4728631933229733,0.0149532471256112,2.038691635633802,2.097308364366198,1000.0,2.068,0.4728631933229733,0.0149532471256112,2.038691635633802,2.097308364366198,1000.0,0.517,0.11821579833074332,0.0037383117814028,0.5096729089084505,0.5243270910915495,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.006229368286302597,0.0033973939619180863,0.00010743503028564506,0.0060187956269427325,0.006439940945662461,1000.0,0.5751128247090168,0.10258607180965973,0.0032440564312811613,0.5687544741037057,0.5814711753143279,1000.0
comb,0.0625,15.0,1000,64.0,0.481,0.10440258569546972,0.003301499644085987,0.47452906069759143,0.48747093930240853,1000.0,0.481,0.10440258569546972,0.003301499644085987,0.47452906069759143,0.48747093930240853,1000.0,0.7543435206918884,0.16896461599711965,0.005343130305266203,0.7438709852935667,0.7648160560902101,1000.0,0.1538432147453716,0.07269139858780434,0.0023044722585885175,0.1493264491185381,0.1583599803722051,995.0,0.07693261451329038,0.04625190431631186,0.0014662839410784633,0.0740586979887766,0.07980653103780416,995.0,0.5512790390309246,0.04920031578192318,0.0015558505947040543,0.5482295718653046,0.5543285061965445,1000.0,0.3641357320323526,0.03395039038814829,0.001073605610784366,0.36203146503521527,0.36623999902948995,1000.0,0.7293400664177271,0.04573274472032246,0.0014461963696725912,0.7265055215331688,0.7321746113022853,1000.0,4.0,0.0,0.0,4.0,4.0,1000.0,2.076,0.41761034278187886,0.013205998576343948,2.050116242790366,2.101883757209634,1000.0,2.076,0.41761034278187886,0.013205998576343948,2.050116242790366,2.101883757209634,1000.0,0.519,0.10440258569546972,0.003301499644085987,0.5125290606975915,0.5254709393024085,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0020463430507480247,0.0010268416368291922,3.247158368675687e-05,0.0019826987467219813,0.002109987354774068,1000.0,0.575876915388113,0.10608252952078745,0.0033546241323773878,0.5693018520886534,0.5824519786875727,1000.0
comb,0.0625,20.0,1000,64.0,0.48475,0.11053123836569757,0.0034953046583459154,0.47789920286964205,0.491600797130358,1000.0,0.48475,0.11053123836569757,0.0034953046583459154,0.47789920286964205,0.491600797130358,1000.0,0.7544033695486523,0.1745915196848146,0.00552106862354137,0.7435820750465112,0.7652246640507934,1000.0,0.15324887063277592,0.07629001437497093,0.0024173416091140053,0.14851088107891247,0.15798686018663938,996.0,0.08005336680743447,0.049673506111114624,0.0015739652715594595,0.07696839487517793,0.08313833873969101,996.0,0.5498399537003071,0.050382093609118266,0.0015932216909262677,0.5467172391860916,0.5529626682145227,1000.0,0.36344766276437657,0.03532670542969105,0.0011171285138766099,0.3612580908771784,0.3656372346515747,1000.0,0.7274780388860137,0.04431468415090966,0.0014013533570783937,0.7247313863061401,0.7302246914658873,1000.0,4.0,0.0,0.0,4.0,4.0,1000.0,2.061,0.4421249534627903,0.013981218633383662,2.033596811478568,2.088403188521432,1000.0,2.061,0.4421249534627903,0.013981218633383662,2.033596811478568,2.088403188521432,1000.0,0.51525,0.11053123836569757,0.0034953046583459154,0.508399202869642,0.522100797130358,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0006410611420016057,0.0004728266533868955,1.4952091631375573e-05,0.0006117550424041096,0.0006703672415991019,1000.0,0.5734375485199626,0.10772197492701718,0.0034064679482092475,0.5667608713414726,0.5801142256984527,1000.0
comb,0.125,-5.0,1000,110.0,0.499,0.17292745271906337,0.005468446205633178,0.48828184543695896,0.509718154563041,1000.0,0.499,0.17292745271906337,0.005468446205633178,0.48828184543695896,0.509718154563041,1000.0,0.7321751726906467,0.21054204289056136,0.006657923987590349,0.7191256416749696,0.7452247037063238,1000.0,0.18089682546640706,0.09266977531565541,0.0029497114479546276,0.175115391028416,0.18667825990439813,987.0,0.1263689035669992,0.07166611282628105,0.0022811575048502005,0.12189783485749281,0.1308399722765056,987.0,0.5437507422296389,0.08580635216266767,0.002713435105445447,0.5384324094229659,0.549069075036312,1000.0,0.36464233493685916,0.05709996005618459,0.0018056592808217934,0.36110324274644845,0.36818142712726987,1000.0,0.7358405934060368,0.09212033054391242,0.0029131006332634105,0.7301309161648405,0.7415502706472331,1000.0,4.0,0.0,0.0,4.0,4.0,1000.0,2.004,0.6917098108762535,0.021873784822532712,1.9611273817478359,2.046872618252164,1000.0,2.004,0.6917098108762535,0.021873784822532712,1.9611273817478359,2.046872618252164,1000.0,0.501,0.17292745271906337,0.005468446205633178,0.49028184543695896,0.511718154563041,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.11768419692339566,0.0569406346879469,0.0018006209702950318,0.11415497982161739,0.12121341402517392,1000.0,1.732291443980433,1.7364157174157417,0.0549102863194905,1.6246672827942317,1.8399156051666345,1000.0
comb,0.125,0.0,1000,110.0,0.5605,0.1687994171886954,0.005337906260252538,0.550037703729905,0.570962296270095,1000.0,0.5605,0.1687994171886954,0.005337906260252538,0.550037703729905,0.570962296270095,1000.0,0.7950542589089947,0.19579115142684075,0.006191459842157429,0.7829189976183661,0.8071895201996233,1000.0,0.1651235458410406,0.0777798849013873,0.0024682700407841697,0.16028573656110365,0.16996135512097757,993.0,0.10042841352222098,0.05386733121310698,0.0017094280864375314,0.09707793447280343,0.10377889257163854,993.0,0.5072675293412598,0.09330009703808152,0.0029504081255506717,0.5014847294151805,0.5130503292673392,1000.0,0.33668373456752554,0.062235845766851,0.0019680702473019772,0.33282631688281367,0.3405411522522374,1000.0,0.6755568385983631,0.09980942882211755,0.0031562512703834826,0.6693705861084115,0.6817430910883148,1000.0,4.0,0.0,0.0,4.0,4.0,1000.0,1.758,0.6751976687547816,0.021351625041010153,1.71615081491962,1.79984918508038,1000.0,1.758,0.6751976687547816,0.021351625041010153,1.71615081491962,1.79984918508038,1000.0,0.4395,0.1687994171886954,0.005337906260252538,0.429037703729905,0.449962296270095,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.03587711429188054,0.01753366663600919,0.0005544632230389152,0.03479036637472427,0.036963862209036816,1000.0,1.1682151651206096,1.5697583543374827,0.049640117757841,1.0709205343152413,1.265509795925978,1000.0
comb,0.125,5.0,1000,110.0,0.56775,0.16919238624584607,0.005350333032958188,0.5572633472554019,0.578236652744598,1000.0,0.56775,0.16919238624584607,0.005350333032958188,0.5572633472554019,0.578236652744598,1000.0,0.797854530133922,0.1954387346551605,0.0061803154453158975,0.7857411118611028,0.8099679484067412,1000.0,0.15851426052470485,0.07285501447699101,0.002310820739343241,0.1539850518755921,0.1630434691738176,994.0,0.08490357655753604,0.0479147695883474,0.0015197642067667728,0.08192483871227317,0.08788231440279891,994.0,0.501666763589797,0.09501787570711602,0.0030047290566526876,0.49577749463875775,0.5075560325408363,1000.0,0.3308189124942983,0.06525549284540834,0.002063559872283123,0.3267743351446234,0.3348634898439732,1000.0,0.6645694380938086,0.1038784811555766,0.0032849260033050187,0.6581309831273308,0.6710078930602865,1000.0,4.0,0.0,0.0,4.0,4.0,1000.0,1.729,0.6767695449833843,0.02140133213183275,1.687053389021608,1.7709466109783922,1000.0,1.729,0.6767695449833843,0.02140133213183275,1.687053389021608,1.7709466109783922,1000.0,0.43225,0.16919238624584607,0.005350333032958188,0.421763347255402,0.44273665274459806,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.011811521497193375,0.0060021645364745305,0.00018980510826348303,0.011439503484996949,0.012183539509389801,1000.0,0.8224065843902281,0.8506061023150329,0.02689852674953727,0.769685471961135,0.8751276968193211,1000.0
comb,0.125,10.0,1000,110.0,0.58675,0.1590982393043674,0.005031128079243238,0.5768889889646832,0.5966110110353168,1000.0,0.58675,0.1590982393043674,0.005031128079243238,0.5768889889646832,0.5966110110353168,1000.0,0.8240850082255086,0.17060730814450364,0.005395076792068267,0.8135106577130548,0.8346593587379624,1000.0,0.15505054887690717,0.07633910300851951,0.0024140544004113396,0.15031900225210093,0.1597820955017134,1000.0,0.08369579618103924,0.04786924280044931,0.0015137583711703688,0.08072882977354531,0.08666276258853317,1000.0,0.4916666654624325,0.09166659346981754,0.0028987522071334064,0.485985111136451,0.497348219788414,1000.0,0.32388011959101903,0.06274880110889221,0.0019842913194899866,0.31999090860481866,0.3277693305772194,1000.0,0.6498500687744372,0.10451654282733176,0.003305103285009029,0.6433720663358194,0.6563280712130549,1000.0,4.0,0.0,0.0,4.0,4.0,1000.0,1.653,0.6363929572174696,0.020124512316972952,1.6135559558587331,1.692444044141267,1000.0,1.653,0.6363929572174696,0.020124512316972952,1.6135559558587331,1.692444044141267,1000.0,0.41325,0.1590982393043674,0.005031128079243238,0.4033889889646833,0.42311101103531673,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0036182560371203374,0.0018110625391955845,5.727082608866017e-05,0.0035060052179865637,0.003730506856254111,1000.0,0.7267396237367574,0.8865445370843748,0.028034999843662357,0.6717910240431791,0.7816882234303356,1000.0
