pilot_pattern,pilot_density,snr_db,trial,num_pilots,nmse_oracle_perfect,nmse_oracle_support_ls,nmse_estimated_support_ls,path_recall,path_precision,power_recovery,delay_rmse_bins,doppler_rmse_bins,penalized_delay_rmse_bins,penalized_doppler_rmse_bins,ospa_distance,num_estimated,num_missed,num_false_alarms,false_alarm_rate
random,0.125,0.0,0,112,0.0,0.05064178334911651,0.09330468429496386,1.0,1.0,1.0,0.1174613204041356,0.05008557116429169,0.1174613204041356,0.05008557116429169,0.18591004648486667,4.0,0.0,0.0,0.0
random,0.125,0.0,1,112,0.0,0.028108391156807418,0.13712915111150573,0.5,0.5,0.9638670979584762,0.027710069633719914,0.0475149324133954,0.5306919294464094,0.35514621552414827,0.7107727267725626,4.0,2.0,2.0,0.5
random,0.125,0.0,2,112,0.0,0.07066701698795305,0.5115040121194308,0.75,0.75,0.7349473786901718,0.1898213117304847,0.02390755925919582,0.4094497500186212,0.2508558919824268,0.5475011914921327,4.0,1.0,1.0,0.25
random,0.125,0.0,3,112,0.0,0.033143208648687694,0.2518524607889277,0.5,0.5,0.8809673145740426,0.11563631044423577,0.04633803610278683,0.5365965692646365,0.35506845367468454,0.7184569804613513,4.0,2.0,2.0,0.5
random,0.125,0.0,4,112,0.0,0.05205392974285808,0.197097861916412,0.75,0.75,0.9642985276116207,0.23324828313487336,0.17936324264688913,0.4259443287438213,0.2943269943610425,0.6473431860707595,4.0,1.0,1.0,0.25
random,0.125,0.0,5,112,0.0,0.020723450134791023,0.08999342044924932,0.75,0.75,0.9676236690528839,0.03953000026507756,0.03094788434078624,0.3765593787050294,0.2514325529021213,0.5049324798394218,4.0,1.0,1.0,0.25
random,0.125,0.0,6,112,0.0,0.06187601920028925,0.2597342059979577,0.0,0.0,0.0,nan,nan,0.75,0.5,0.7161643259231129,4.0,4.0,4.0,1.0
random,0.125,0.0,7,112,0.0,0.043828927163547506,0.32656536504106976,0.5,0.5,0.8312658239041717,0.13418114962208694,0.016219696967813207,0.5387506755976761,0.3537393663205494,0.7187003750262875,4.0,2.0,2.0,0.5
random,0.125,0.0,8,112,0.0,0.024809192888815987,0.2692727008597728,0.5,0.5,0.833851531363604,0.10601526544117619,0.06552098613338507,0.535602108148653,0.3565760785750295,0.7201225115895634,4.0,2.0,2.0,0.5
random,0.125,0.0,9,112,0.0,0.02560561707746516,0.06232371304692404,1.0,1.0,1.0,0.0730407939883798,0.09020539152592003,0.0730407939883798,0.09020539152592003,0.20501809599145385,4.0,0.0,0.0,0.0
random,0.125,0.0,10,112,0.0,0.05128952728011827,0.18879393789425022,0.5,0.5,0.8700346344972006,0.15732986804418567,0.07853101135690263,0.5418729959034685,0.3578876358193574,0.7309833296803917,4.0,2.0,2.0,0.5
random,0.125,0.0,11,112,0.0,0.015861473602854597,0.09322145051648406,0.75,0.75,0.9838751131219268,0.18539093419996092,0.05802450788620657,0.4079244401389192,0.25500026007158766,0.5531066158746927,4.0,1.0,1.0,0.25
random,0.125,0.0,12,112,0.0,0.019046515858640704,0.2388697787663197,0.75,0.75,0.9504583134026817,0.18907258117075912,0.1333956229376218,0.4091898467862197,0.2754011513486956,0.592492839273899,4.0,1.0,1.0,0.25
random,0.125,0.0,13,112,0.0,0.03186816952493815,0.26582862067087726,0.5,0.5,0.7789968029284781,0.11903115648541861,0.011549302329247972,0.5369676043367311,0.35364769643268734,0.7161430866206768,4.0,2.0,2.0,0.5
random,0.125,0.0,14,112,0.0,0.03743955880800125,0.18578343417463655,1.0,1.0,1.0,0.21102233455620137,0.08566507170494242,0.21102233455620137,0.08566507170494242,0.3294225542559208,4.0,0.0,0.0,0.0
random,0.125,0.0,15,112,0.0,0.03248155268983818,0.7136789573066455,0.5,0.5,0.5309079687434751,0.14347874694466112,0.06412277065382514,0.5399472894759312,0.3564489652925949,0.7256185362611753,4.0,2.0,2.0,0.5
random,0.125,0.0,16,112,0.0,0.048449703736711945,0.11794428791329023,1.0,1.0,1.0,0.12126368693084735,0.1822703234524732,0.12126368693084735,0.1822703234524732,0.39878803301752686,4.0,0.0,0.0,0.0
random,0.125,0.0,17,112,0.0,0.02641960819891742,0.16969113005984426,0.5,0.5,0.9409258465730159,0.06761058011192576,0.09564846975550535,0.5324806055355777,0.3599643244590843,0.7227451418140903,4.0,2.0,2.0,0.5
random,0.125,0.0,18,112,0.0,0.027010495765511528,0.043818204358875505,0.75,0.75,0.995868150641989,0.0712897412608636,0.05617492077834472,0.3800482474723185,0.25468945069111126,0.5159875658567247,4.0,1.0,1.0,0.25
random,0.125,0.0,19,112,0.0,0.013131706270736607,0.12027737598848852,0.75,0.75,0.9845447851480322,0.11675363347090442,0.14611534984150015,0.38839227360555684,0.2802004132660728,0.5763890187620305,4.0,1.0,1.0,0.25
random,0.125,0.0,20,112,0.0,0.05893105100438134,0.17929687847259806,0.75,0.75,0.9429300397454913,0.07260443208206988,0.165307745941998,0.38023486514057325,0.28808850749607856,0.5822443565055417,4.0,1.0,1.0,0.25
random,0.125,0.0,21,112,0.0,0.01703314084752605,0.25088279439620853,0.75,0.75,0.8242017843479764,0.06714795764105369,0.10861379074791422,0.37948206303002463,0.2671099336518089,0.5398172507825045,4.0,1.0,1.0,0.25
